label,size
wolfigelkott.crimea.ua,6.11
pes.bsky.social,5.15
mathan.dev,4.97
deadcake.bsky.social,4.96
teren.bsky.social,4.89
k1sa.me,4.8
canisbandera.bsky.social,4.76
olganova.bsky.in.ua,4.61
kiwi.qirim.land,4.59
leodron.ukr.blue,4.38
z-april-z.bsky.social,4.36
imax.in.ua,4.33
glialcellar.bsky.social,4.3
rikk-tikki-tav.bsky.social,4.3
headhyperempty.bsky.social,4.28
sofiia.bsky.social,4.23
hradspain.com,4.23
eas2ern.bsky.social,4.19
anasta-shpak.bsky.social,4.17
kapatsyunya.bsky.social,4.16
zmiitsia.bluesky.co.ua,4.1
ukrainiansteppe.qirim.land,4.09
mrs-noname.vol.army,4.01
diebitchesdie.online,3.96
tarasbulda.bsky.social,3.91
thousandblossom.bsky.social,3.86
qvatom.bsky.social,3.83
innokentya.bsky.social,3.82
andriikatriuk.bsky.social,3.79
taras.bsky.social,3.79
yizdoon.bsky.social,3.78
giray.qirim.land,3.76
olhapolyakova.bsky.social,3.76
nukk3r.bsky.social,3.71
rusivanov.bsky.social,3.68
furiya.bsky.social,3.67
eklesa.ukr.blue,3.64
paniboua.qirim.land,3.62
gniv.bsky.social,3.61
hvist.bsky.social,3.57
miyoru-mia.ukr.blue,3.55
atrejane.bsky.social,3.55
mimicry.bsky.social,3.51
darekadattehito.bsky.social,3.49
sixteen.cats.ukr.blue,3.49
blightfox.vol.army,3.48
minaev.bsky.social,3.46
yevheniia.bsky.social,3.46
dmytro.bsky.social,3.43
thehadeswife.bsky.social,3.43
foxyrhei.bsky.social,3.41
cu4o2.vol.army,3.4
morevayuliia.bsky.social,3.4
yashperka-stepova.bsky.social,3.4
shakereality.bsky.social,3.38
oleksanovyk.com,3.38
snovydka.bsky.social,3.38
rockatanskyi.bsky.social,3.36
budzhakovskyi.bsky.social,3.33
catchmyforest.bsky.social,3.31
isimon.bsky.social,3.28
quadro.bsky.social,3.25
djema.qirim.land,3.25
mosseater.bsky.social,3.25
ketsunset.bsky.social,3.19
filin.bsky.social,3.17
volk.bsky.social,3.17
divcha.bsky.social,3.16
yevhenyevhenii.bsky.social,3.16
perehyzna.bsky.social,3.14
fatherofagun.vol.army,3.14
findpua.bsky.social,3.12
elfes.bsky.social,3.12
dimtarius.bsky.social,3.12
bozhablagodat.bsky.social,3.12
publicmental.bsky.social,3.08
mariasergiivna.bsky.social,3.08
alco-alchemist.bsky.social,3.08
sophua.bsky.social,3.06
oyin.bo,3.06
paniwolf.bsky.social,3.06
vmelnyk.bsky.social,3.06
ykravv.bsky.social,3.06
sfog.bsky.social,3.06
annate.bsky.social,3.04
el-strider.bsky.social,3.04
malchevsky.bsky.social,3.04
hikkifox.bsky.social,3.04
lisalexunder.bsky.social,3.02
taika-i-titi.bsky.social,3.02
holyagnostic.bsky.social,3.02
runasolaris.art,3.0
oleksii-it.bsky.social,3.0
cattus56.bsky.social,3.0
zabanene.bsky.social,2.98
drudyak.bsky.social,2.96
atanapotinijamara.bsky.social,2.96
onkazhaba.bsky.social,2.96
romanoid.bsky.social,2.94
stepansraka.bsky.social,2.94
